#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-040	NC_017142.1	AP011132	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-050	NC_017120.1	AP011133	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-010	NC_017101.1	AP011129	191.427	53.366	171	-	-	-	182	11
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-020	NC_017118.1	AP011130	182.94	53.4968	162	-	-	-	173	11
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-030	NC_017119.1	AP011131	49.961	53.882	58	-	-	-	59	1
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-060	NC_017109.1	AP011134	1.815	58.5675	1	-	-	-	1	-
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-040	NC_017123.1	AP011139	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-020	NC_017122.1	AP011137	182.94	53.4968	162	-	-	-	173	11
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-060	NC_017124.1	AP011141	1.815	58.5675	1	-	-	-	1	-
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-010	NC_017143.1	AP011136	191.427	53.366	171	-	-	-	182	11
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-030	NC_017110.1	AP011138	49.961	53.882	58	-	-	-	59	1
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-050	NC_017144.1	AP011140	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-060	NC_017137.1	AP011176	1.815	58.5675	1	-	-	-	1	-
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-030	NC_017114.1	AP011173	49.961	53.882	58	-	-	-	59	1
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-050	NC_017116.1	AP011175	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-014	NC_017136.1	AP011171	191.411	53.3663	170	-	-	-	181	11
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-040	NC_017115.1	AP011174	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-020	NC_017113.1	AP011172	182.94	53.4968	162	-	-	-	173	11
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-030	NC_017127.1	AP011145	49.961	53.882	58	-	-	-	59	1
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-020	NC_017126.1	AP011144	182.94	53.4968	162	-	-	-	173	11
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-050	NC_017128.1	AP011147	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-010	NC_017117.1	AP011143	191.427	53.366	170	-	-	-	181	11
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-060	NC_017129.1	AP011148	1.815	58.5675	1	-	-	-	1	-
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-040	NC_017145.1	AP011146	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-020	NC_017131.1	AP011151	182.94	53.4968	162	-	-	-	173	11
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-030	NC_017147.1	AP011152	49.961	53.882	58	-	-	-	59	1
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-040	NC_017132.1	AP011153	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-050	NC_017148.1	AP011154	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-013	NC_017130.1	AP011150	191.419	53.3662	170	-	-	-	181	11
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-060	NC_017133.1	AP011155	1.815	58.5675	1	-	-	-	1	-
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-012	NC_017134.1	AP011157	191.443	53.3658	171	-	-	-	183	12
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-030	NC_017135.1	AP011159	49.961	53.882	58	-	-	-	59	1
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-020	NC_017149.1	AP011158	182.94	53.4968	162	-	-	-	173	11
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-040	NC_017102.1	AP011160	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-050	NC_017103.1	AP011161	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-060	NC_017112.1	AP011162	1.815	58.5675	1	-	-	-	1	-
Acetobacter pasteurianus NBRC 101655	Bacteria	Proteobacteria	Alphaproteobacteria	plasmid3	NZ_AP014884.1	AP014884	2.799	58.1994	4	-	-	-	4	-
Acetobacter pasteurianus NBRC 101655	Bacteria	Proteobacteria	Alphaproteobacteria	plasmid4	NZ_AP014885.1	AP014885	2.278	55.7068	2	-	-	-	2	-
Acetobacter pasteurianus NBRC 101655	Bacteria	Proteobacteria	Alphaproteobacteria	plasmid1	NZ_AP014882.1	AP014882	187.193	52.0228	173	-	-	-	182	9
Acetobacter pasteurianus NBRC 101655	Bacteria	Proteobacteria	Alphaproteobacteria	plasmid2	NZ_AP014883.1	AP014883	6.331	52.8826	9	-	-	-	9	-
Acetobacter senegalensis 108B	Bacteria	Proteobacteria	Alphaproteobacteria	1P	NZ_LN606601.1	LN606601	80.028	0	91	-	-	-	95	4
Achromobacter denitrificans EST4002	Bacteria	Proteobacteria	Betaproteobacteria	pEST4011	NC_005793.2	AY540995	76.958	62.026	60	-	-	-	61	-
Achromobacter denitrificans AX-22	Bacteria	Proteobacteria	Betaproteobacteria	pAX22	NC_022242.1	HF679279	28.466	62.2532	33	-	-	-	33	-
Achromobacter xylosoxidans A8	Bacteria	Proteobacteria	Betaproteobacteria	pA81	NC_006830.1	AJ515144	98.192	62.1772	100	-	-	-	103	3
Achromobacter xylosoxidans FDAARGOS_147	Bacteria	Proteobacteria	Betaproteobacteria	unnamed	NZ_CP014059.1	CP014059	21.968	65.0765	25	-	-	-	26	1
Achromobacter xylosoxidans FDAARGOS_162	Bacteria	Proteobacteria	Betaproteobacteria	unnamed	-	CP014066.1	18.395	64.1533	15	-	-	-	21	6
Achromobacter xylosoxidans A8	Bacteria	Proteobacteria	Betaproteobacteria	pA82	NC_014642.1	CP002289	247.895	61.3082	234	-	-	-	237	3
Achromobacter xylosoxidans A8	Bacteria	Proteobacteria	Betaproteobacteria	pA81	NC_014641.1	CP002288	98.156	62.1684	92	-	-	-	99	7
Acidianus ambivalens Lei 10	Archaea	TACK group	Crenarchaeota	pDL10	NC_005562.1	AJ225333	7.598	37.9705	10	-	-	-	20	-
Acidianus hospitalis W1	Archaea	TACK group	Crenarchaeota	pAH1	NC_011299.1	EU881703	28.649	35.921	39	-	-	-	39	-
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY06	NC_009472.1	CP000694	8.781	60.9953	6	-	-	-	6	-
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY07	NC_009473.1	CP000695	5.629	57.5058	6	-	-	-	6	-
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY05	NC_009471.1	CP000693	37.155	60.8532	25	-	-	-	28	3
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY02	NC_009468.1	CP000690	187.422	61.9196	159	-	-	-	169	10
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY04	NC_009470.1	CP000692	37.415	59.6205	30	-	-	-	30	-
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY03	NC_009469.1	CP000691	88.953	62.1283	71	-	-	-	73	2
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY01	NC_009467.1	CP000689	203.589	62.3334	146	-	-	-	168	22
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY08	NC_009474.1	CP000696	4.909	58.6881	5	-	-	-	5	-
Acidiphilium multivorum JCM8867	Bacteria	Proteobacteria	Alphaproteobacteria	pAM5	NC_008691.1	DQ499634	5.161	57.547	5	-	-	-	5	-
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV8	NC_015182.1	AP012043	1.729	60.9023	2	-	-	-	2	-
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV5	NC_015180.1	AP012040	14.328	58.9475	13	-	-	-	13	-
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV3	NC_015179.1	AP012038	54.248	61.2078	50	-	-	-	55	5
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV2	NC_015187.1	AP012037	65.564	61.9212	54	-	-	-	58	4
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV7	NC_015189.1	AP012042	5.178	57.5898	5	-	-	-	6	1
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV4	NC_015188.1	AP012039	40.588	60.0473	32	-	-	-	33	1
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV1	NC_015178.1	AP012036	271.573	62.94	230	-	-	-	246	16
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV6	NC_015181.1	AP012041	12.125	59.5794	12	-	-	-	12	-
Acidithiobacillus caldus MNG	Bacteria	Proteobacteria	Acidithiobacillia	pTcM1	NC_010600.1	EU421841	65.158	57.1242	45	-	-	-	45	-
Acidithiobacillus caldus F	Bacteria	Proteobacteria	Acidithiobacillia	pTC-F14	NC_004734.1	AF325537	14.155	55.733	16	-	-	-	16	-
Acidithiobacillus caldus ATCC 51756	Bacteria	Proteobacteria	Acidithiobacillia	pACA1.1	NZ_CP005988.1	CP005988	27.536	59.3659	29	-	-	-	29	-
Acidithiobacillus caldus ATCC 51756	Bacteria	Proteobacteria	Acidithiobacillia	megaplasmid mpAca1.1	NZ_CP005987.1	CP005987	171.972	57.3646	162	-	-	-	175	13
Acidithiobacillus caldus ATCC 51756	Bacteria	Proteobacteria	Acidithiobacillia	pACA1.2	NZ_CP005989.1	CP005989	9.82	50.3055	6	-	-	-	7	1
Acidithiobacillus caldus SM-1	Bacteria	Proteobacteria	Acidithiobacillia	pLAtc1	NC_015852.1	CP002575	9.778	59.8384	12	-	-	-	12	-
Acidithiobacillus caldus SM-1	Bacteria	Proteobacteria	Acidithiobacillia	pLAtc2	NC_015853.1	CP002576	14.11	57.7108	14	-	-	-	14	-
Acidithiobacillus caldus SM-1	Bacteria	Proteobacteria	Acidithiobacillia	megaplasmid	NC_015851.1	CP002574	251.782	57.2042	221	-	-	-	236	15
Acidithiobacillus caldus SM-1	Bacteria	Proteobacteria	Acidithiobacillia	pLAtc3	NC_015854.1	CP002577	29.704	58.8305	30	-	-	-	30	-
Acidithiobacillus ferrooxidans ATCC 33020	Bacteria	Proteobacteria	Acidithiobacillia	pTF5	NC_005023.1	U73041	19.792	56.1287	13	-	-	-	15	2
Acidithiobacillus ferrooxidans MAL4-1	Bacteria	Proteobacteria	Acidithiobacillia	pTF4.1	NC_001520.1	X96982	4.104	62.2076	2	-	-	-	2	-
Acidovorax avenae 83	Bacteria	Proteobacteria	Betaproteobacteria	pAAA83	NC_024998.1	AB852526	59.534	64.4993	64	-	-	-	64	-
Acidovorax sp. JS42	Bacteria	Proteobacteria	Betaproteobacteria	pAOVO02	NC_008766.1	CP000541	63.609	64.5836	63	-	-	-	66	3
Acidovorax sp. JS42	Bacteria	Proteobacteria	Betaproteobacteria	pAOVO01	NC_008765.1	CP000540	72.689	62.2061	83	-	-	-	86	3
Acinetobacter baumannii 6200	Bacteria	Proteobacteria	Gammaproteobacteria	p6200-47.274kb	NZ_CP010399.1	CP010399	47.274	40.8258	55	-	-	-	55	-
Acinetobacter baumannii 6200	Bacteria	Proteobacteria	Gammaproteobacteria	p6200-9.327kb	NZ_CP010400.1	CP010400	9.327	34.2447	11	-	-	-	11	-
Acinetobacter baumannii 6200	Bacteria	Proteobacteria	Gammaproteobacteria	p6200-114.848kb	NZ_CP010398.1	CP010398	114.848	41.6934	121	-	1	-	124	2
Acinetobacter baumannii CS01	Bacteria	Proteobacteria	Gammaproteobacteria	IV	NZ_HG977525.1	HG977525	8.174	34.5363	8	-	-	-	8	-
Acinetobacter baumannii CS01	Bacteria	Proteobacteria	Gammaproteobacteria	III	NZ_HG977524.1	HG977524	64.165	33.3671	50	-	-	-	81	31
Acinetobacter baumannii CS01	Bacteria	Proteobacteria	Gammaproteobacteria	II	NZ_HG977523.1	HG977523	63.72	33.4181	70	-	-	-	88	18
Acinetobacter baumannii CR17	Bacteria	Proteobacteria	Gammaproteobacteria	III	NZ_HG977528.1	HG977528	64.479	33.476	49	-	-	-	78	29
Acinetobacter baumannii CR17	Bacteria	Proteobacteria	Gammaproteobacteria	IV	NZ_HG977529.1	HG977529	8.047	34.4103	7	-	-	-	7	-
Acinetobacter baumannii CR17	Bacteria	Proteobacteria	Gammaproteobacteria	II	NZ_HG977527.1	HG977527	63.795	33.4148	72	-	-	-	87	15
Acinetobacter baumannii IOMTU433	Bacteria	Proteobacteria	Gammaproteobacteria	pIOMTU433	NZ_AP014650.1	AP014650	189.354	39.5286	195	-	-	-	201	6
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pA1-1	NZ_CP010782.1	CP010782	8.731	34.3718	9	-	-	-	9	-
Acinetobacter baumannii AB5075-UW	Bacteria	Proteobacteria	Gammaproteobacteria	p1AB5075	NZ_CP008707.1	CP008707	83.61	36.9717	110	-	-	-	112	2
Acinetobacter baumannii AB5075-UW	Bacteria	Proteobacteria	Gammaproteobacteria	p2AB5075	NZ_CP008708.1	CP008708	8.731	34.3718	9	-	-	-	9	-
Acinetobacter baumannii AB5075-UW	Bacteria	Proteobacteria	Gammaproteobacteria	p3AB5075	NZ_CP008709.1	CP008709	1.967	39.1459	3	-	-	-	3	-
Acinetobacter baumannii XH386	Bacteria	Proteobacteria	Gammaproteobacteria	pAB386	NZ_CP010780.1	CP010780	112.157	41.5498	117	-	1	-	122	4
Acinetobacter baumannii Ab04-mff	Bacteria	Proteobacteria	Gammaproteobacteria	pAB04-2	NZ_CP012008.1	CP012008	87.569	34.0223	111	-	-	-	112	1
Acinetobacter baumannii Ab04-mff	Bacteria	Proteobacteria	Gammaproteobacteria	pAB04-1	NZ_CP012007.1	CP012007	169.023	39.5544	178	-	-	-	185	7
Acinetobacter baumannii ATCC 17978-mff	Bacteria	Proteobacteria	Gammaproteobacteria	pAB3	NZ_CP012005.1	CP012005	148.955	37.4784	157	-	-	-	158	1
Acinetobacter baumannii B8300	Bacteria	Proteobacteria	Gammaproteobacteria	pCMC8300	NZ_CM003361.1	CM003361	25.15	35.336	30	-	-	-	30	-
Acinetobacter baumannii D36	Bacteria	Proteobacteria	Gammaproteobacteria	pRAY*	NC_025068.1	-	6.078	39.2563	8	-	-	-	8	-
