#Species/genus	Genomes	Organism name	Chromosome RefSeq	Chromosome GenBank	Plasmid RefSeq	Plasmid GenBank	CODE	Comment	PubmedIDs	External link
Corynebacterium glutamicum	10	Corynebacterium glutamicum ATCC 13032	NC_003450	BA000036			FGS/MOD/UPR	This is the first Corynebacterium glutamicum genome. Corynebacterium glutamicum ATCC 13032 is widely used for the industrial production of amino acids and it has a reference proteome in UniProtKB database.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Coxiella burnetii	19	Coxiella burnetii RSA 493	NC_002971	AE016828	NC_004704	AE016829	FGS/UPR	This strain has a reference proteome in UniProtKB database.	12704232,19047403	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Deinococcus radiodurans	1	Deinococcus radiodurans R1	NC_001263,NC_001264	AE000513,AE001825	NC_000958 ... (2)	AE001826 ... (2)	UPR	This strain has a reference proteome in UniProtKB database.	10567266	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Desulfovibrio vulgaris	4	Desulfovibrio vulgaris str. Hildenborough	NC_002937	AE017285	NC_005863	AE017286	FGS/UPR	This strain has a reference proteome in UniProtKB database.	15077118	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Dictyoglomus turgidum	1	Dictyoglomus turgidum DSM 6724	NC_011661	CP001251			UPR	This strain has a reference proteome in UniProtKB database.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Enterobacter cloacae	34	Enterobacter cloacae subsp. cloacae ATCC 13047	NC_014121	CP001918	NC_014107 ... (2)	CP001919 ... (2)	TYS/CLI	Enterobacter cloacae subsp. cloacae ATCC 13047 was isolated from human cerebrospinal fluid in 1890 and is the type strain of E. cloacae subsp. cloacae. It has a reference proteome in UniProtKB database.	20207761	
Enterococcus faecalis	358	Enterococcus faecalis V583	NC_004668	AE016830	NC_004669 ... (3)	AE016831 ... (3)	FGS/TYS/UPR	This is the first Enterococcus faecalis genome. Enterococcus faecalis V583 is the type strain. It has a reference proteome in UniProtKB database.	12663927	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Escherichia coli	1780	Escherichia coli IAI39	NC_011750	CU928164			PHY	This strain is the representative of E. coli sub-clade D2.		
Escherichia coli	1780	Escherichia coli O104:H4 str. 2011C-3493	NC_018658	CP003289	NC_018659 ... (3)	CP003290 ... (3)	PHY	This strain is the representative of E. coli sub-clade B1.	23133618	
Escherichia coli	1780	Escherichia coli O157:H7 str. Sakai	NC_002695	BA000007	NC_002127 ... (2)	AB011548 ... (2)	PHY/CLI	This pathogenic strain of E. coli is enterohemorrhagic and a cause of foodborne illness. Most cases of food poisoning have been linked with eating undercooked contaminated ground meat, raw contaminated vegetables or unpasteurized milk. Waterborne transmission occurs by swimming in contaminated lakes or pools, or by drinking contaminated water. The organism is communicable person-to-person and has caused outbreaks in child day-care centers. E. coli O157:H7 requires specific receptors in order to attach to and enter intestinal cells. Cattle, swine, and deer do not have these receptors, and so can harbor the strain in their intestines without ill effect. The strain contaminated meat during slaughter or butchering, and when undercooked meat is eaten causes acute hemorrhagic diarrhea and abdominal cramps. In healthy adults, the symptoms subside in 5-10 days. In children and the elderly, the infection can cause hemolytic uremic syndrome (2-7% of cases), in which the red blood cells are destroyed and the kidneys fail. This strain is the representative of E. coli sub-clade E.	10734605,11108008,11111050,11258796	http://www.genome.wisc.edu/; http://ecocyc.org/
Escherichia coli	1780	Escherichia coli O83:H1 str. NRG 857C	NC_017634	CP001855	NC_017659	CP001856	PHY	This strain is the representative of E. coli sub-clade B2. 	17900983,18312396,21108814	
Escherichia coli	1780	Escherichia coli str. K-12 substr. MG1655	NC_000913	U00096			PHY/FGS/MOD/UPR	E. coli K-12 was one of the first organisms to have its genome sequenced, and as such has become a model organism in microbiology research. It is well-adapted to the laboratory environment, and has lost the ability to survive in the intestine. This non-pathogenic laboratory strain was orginally isolated from a stool sample of a patient with diptheria in 1922. During the course of lab culturing, it lost the O-antigen, lambda phage, and F-plasmid. Substrain MG1655 is a parent of DH5a and DH10ß, which are used extensively in biotechnology. This strain is the representative of E. coli sub-clade A. It has a reference proteome in UniProtKB database. 	9278503,16397293,16738553,22081388	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Escherichia coli	1780	Escherichia coli UMN026	NC_011751	CU928163	NC_011739 ... (2)	CU928148 ... (2)	PHY	This strain is the representative of E. coli sub-clade D1. 		
Flavobacterium psychrophilum	1	Flavobacterium psychrophilum JIP02/86	NC_009613	AM398681			UPR	This strain has a reference proteome in UniProtKB database.	17592475	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:11
Francisella tularensis	49	Francisella tularensis subsp. tularensis SCHU S4	NC_006570	AJ749949			FGS/MOD/CLI/UPR	This is the first Francisella tularensis subsp. tularensis genome. F. tularensis subsp. tularensis strain SCHU S4 was first isolated from a tularemia patient in the US in 1995. Because of its high virulence, strain SCHU S4 is widely used in the tularemia research community, and is regarded as a prototypic strain. Many SCHU S4 mutants were created to study the pathogenesis of this deadly bacterium. It is used as reference strain of Francisella tularensis subsp. tularensis in studies of molecular evolution, pathogenesis, and epidemiology.	15640799	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:12
Fusobacterium nucleatum	36	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	NC_003454	AE009951			TYS/UPR	This strain has a reference proteome in UniProtKB database.	11889109	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:13
Geobacter sulfurreducens	2	Geobacter sulfurreducens PCA	NC_002939	AE017180			FGS/UPR	This strain has a reference proteome in UniProtKB database.	14671304,22967216	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:14
Gloeobacter violaceus	1	Gloeobacter violaceus PCC 7421	NC_005125	BA000045			UPR	This strain has a reference proteome in UniProtKB database.	14621292,14621296	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:15
Haemophilus influenzae	22	Haemophilus influenzae Rd KW20	NC_000907	L42023			FGS/UPR	This is the first complete genome sequence of a free-living organism. It has a reference proteome in UniProtKB database.	7542800,8805245	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:16
Helicobacter pylori	383	Helicobacter pylori 26695	NC_000915	AE000511			FGS/CLI/MOD/UPR	This is the first Helicobacter pylori genome. It was originally isolated from a patient with gastritis in the UK and it has a reference proteome in UniProtKB database.	9252185	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:17
Ketogulonicigenium vulgare	2	Ketogulonicigenium vulgare WSH-001	NC_017384	CP002018	NC_017385 ... (2)	CP002019 ... (2)	FGS/MOD	This is the first Ketogulonigenium vulgarum genome. Ketogulonigenium vulgarum WSH-001 is an industrial organism commonly used in the vitamin C industry.	21994934	
Klebsiella pneumoniae	264	Klebsiella pneumoniae subsp. pneumoniae HS11286	NC_016845	CP003200	NC_016838 ... (6)	CP003223 ... (6)	CLI	Klebsiella pneumoniae subsp. pneumoniae HS11286 is a multidrug-resistant strain that was originally isolated from the sputum specimen of patient in China. 	22408243	
Lactobacillus acidophilus	11	Lactobacillus acidophilus NCFM	NC_006814	CP000033			MOD	Lactobacillus acidophilus NCFM is widely used in industrial production of formula, yogurt, and fluid milk.	15671160	
Lactobacillus plantarum	17	Lactobacillus plantarum WCFS1	NC_004567	AL935263	NC_006375 ... (3)	CR377164 ... (3)	FGS/UPR	This is the first Lactobacillus plantarum genome. Lactobacillus plantarum WCFS1 has a slightly larger genome than other sequenced strains. It has a reference proteome in UniProtKB database.	12566566,22156394	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Lactobacillus salivarius	8	Lactobacillus salivarius UCC118	NC_007929	CP000233	NC_006529 ... (3)	AF488831 ... (3)	MOD	L. salivarius UCC118 is well studied for its probiotic properties and has been used as a model organism to study the maintenance of healthy digestive system.	16617113	
Lactococcus lactis	27	Lactococcus lactis subsp. lactis Il1403	NC_002662	AE005176			FGS/UPR	This strain has a reference proteome in UniProtKB database.	11337471	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Leptospira interrogans	205	Leptospira interrogans serovar Lai str. 56601	NC_004342,NC_004343	AE010300,AE010301			FGS/CLI/UPR	This strain has a reference proteome in UniProtKB database.	12712204	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:11
Listeria monocytogenes	80	Listeria monocytogenes EGD-e	NC_003210	AL591824			FGS/MOD/UPR	This strain has a reference proteome in UniProtKB database.	11679669	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:12
Mesoplasma florum	2	Mesoplasma florum L1	NC_006055	AE017263			UPR	This strain has a reference proteome in UniProtKB database.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:13
Moorella thermoacetica	2	Moorella thermoacetica ATCC 39073	NC_007644	CP000232			UPR	This strain has a reference proteome in UniProtKB database.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:14
Mycobacterium bovis	26	Mycobacterium bovis AF2122/97	NC_002945	BX248333			FGS/CLI	This is the first Mycobacterium bovis genome. Mycobacterium bovis AF2122/97 is a fully virulent strain that was isolated from a diseased cow in 1997	12788972	
Mycobacterium leprae	4	Mycobacterium leprae TN	NC_002677	AL450380			FGS/CLI/PRT	This is the first Mycobacterium leprae genome. Mycobacterium leprae TN is a clinical isolate that was isolated from a patient in India.	11234002	
Mycobacterium smegmatis	4	Mycobacterium smegmatis str. MC2 155	NC_008596	CP000480			UPR	This strain has a reference proteome in UniProtKB database.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Mycobacterium tuberculosis	1618	Mycobacterium tuberculosis H37Rv	NC_000962	AL123456			FGS/MOD/UPR	M. tuberculosis strain H37Rv derived from the virulent isolate H37 that was first isolated in 1905. The H37Rv strain has been widely used in biomedical research mostly because it maintains full virulence, it is susceptible to drugs, and it is applicable for genetic manipulation. 	9634230,12368430,20980199	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:11
Mycoplasma mycoides	6	Mycoplasma mycoides subsp. mycoides SC str. PG1	NC_005364	BX293980			FGS/UPR	This strain has a reference proteome in UniProtKB database.	14762060	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:12
Mycoplasma pneumoniae	7	Mycoplasma pneumoniae M129	NC_000912	U00089			FGS/CLI/UPR	This strain has a reference proteome in UniProtKB database.	8948633,10954595	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:13
Neisseria gonorrhoeae	19	Neisseria gonorrhoeae FA 1090	NC_002946	AE004969			CLI/UPR	Neisseria gonorrhoeae FA 1090 is a clinical isolate that was isolated from a patient with disseminated gonococcal infection. It has a reference proteome in UniProtKB database.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:14
Neisseria meningitidis	189	Neisseria meningitidis MC58	NC_003112	AE002098			FGS/MOD/UPR	N. meningitidis Serogroup B Strain MC58 was isolated from a case of invasive infection in the UK. It has been widely used in virulence studies and vaccine development of N. meningitidis Serogroup B. Serogroup B strains are major causes of bacterial meningitis in Europe and the United States. Unlike other serogroups, the capsular polysaccharide of serogroup B N. meningitidis is poorly immunogenic in humans. Currently, no effective vaccine is available for serogroup B N. meningitidis although studies on the use of noncapsular antigens as vaccine candidates are conducted extensively.	10710307	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:15
Prochlorococcus marinus	15	Prochlorococcus marinus subsp. marinus str. CCMP1375	NC_005042	AE017126			FGS/UPR	This strain has a reference proteome in UniProtKB database.	12917486	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:16
Pseudomonas aeruginosa	241	Pseudomonas aeruginosa PAO1	NC_002516	AE004091			FGS/MOD/UPR	This is the first genomic sequence of Pseudomonas aeruginosa. It was included in the Pseudomonas Genome database, and widely used in the studies of comparative genomics of Pseudomonas aeruginosa. It has a reference proteome in UniProtKB database.	10984043,15608211,18978025	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:17
Rhodobacter sphaeroides	9	Rhodobacter sphaeroides 2.4.1	NC_007493,NC_007494	CP000143,CP000144	NC_007488 ... (5)	CP000145 ... (5)	TYS/PRT/UPR	This strain has a reference proteome in UniProtKB database.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:18
Rhodopirellula baltica	4	Rhodopirellula baltica SH 1	NC_005027	BX119912			QfO/UPR	This strain has a reference proteome in UniProtKB database.	12835416	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:19
Rhodospirillum rubrum	2	Rhodospirillum rubrum ATCC 11170	NC_007643	CP000230	NC_007641	CP000231	TYS/UPR	This strain has a reference proteome in UniProtKB database.	21886856	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:20
Rickettsia prowazekii	12	Rickettsia prowazekii str. Madrid E	NC_000963	AJ235269			FGS/MOD/UPR	This strain has a reference proteome in UniProtKB database.	9823893	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:21
Salinibacter ruber	2	Salinibacter ruber DSM 13855	NC_007677	CP000159	NC_007678	CP000160	FGS/UPR	This strain has a reference proteome in UniProtKB database.	16330755	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:22
Salmonella enterica	1071	Salmonella enterica subsp. enterica serovar Typhi str. CT18	NC_003198	AL513382	NC_003384 ... (2)	AL513383 ... (2)	CLI/UPR	This is a highly pathogenic, multiple drug resistant strain isolated from a typhoid patient in Vietnam. It has a reference proteome in UniProtKB database.	11677608	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:24
Salmonella enterica	1071	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	NC_003197	AE006468	NC_003277	AE006471	CLI/MOD/PRT/UPR	S. enterica serovar Typhimurium has been the main cause of g astroenteritis globally for many years. S. enterica serovar Typhimurium strain LT2 (Lilleengen type 2) was originally isolated in Sweden in the 1940s by Lilleengen. It has been widely used in genetic and molecular biology studies of Salmonella. It was also used as a mouse model in the study of human typhoid fever. 	11677609	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:23
Shewanella oneidensis	1	Shewanella oneidensis MR-1	NC_004347	AE014299	NC_004349	AE014300	PRT/UPR	This strain has a reference proteome in UniProtKB database.	12368813,16038018,18378659,21810203	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:25
Shigella dysenteriae	8	Shigella dysenteriae Sd197	NC_007606	CP000034	NC_007607 ... (2)	CP000035 ... (2)	UPR	This strain has a reference proteome in UniProtKB database.	16275786	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:26
Shigella flexneri	85	Shigella flexneri 2a str. 301	NC_004337	AE005674	NC_004851	AF386526	FGS/CLI	Shigella flexneri 2a strain 301 was isolated from a shigellosis patient in China in 1984. 	12384590	
Staphylococcus aureus	3122	Staphylococcus aureus subsp. aureus NCTC 8325	NC_007795	CP000253			UPR	This strain has a reference proteome in UniProtKB database.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:27
Streptococcus pneumoniae	295	Streptococcus pneumoniae R6	NC_003098	AE007317			UPR	This strain has a reference proteome in UniProtKB database.	11544234	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:28
Streptococcus suis	94	Streptococcus suis BM407	NC_012926	FM252032	NC_012923	FM252033	CLI	Streptococcus suis BM407 was isolated from CSF from a human case of meningitis in Ho Chi Minh City, Vietnam in 2004.	19603075	
Streptomyces coelicolor	1	Streptomyces coelicolor A3(2)	NC_003888	AL645882	NC_003903 ... (2)	AL589148 ... (2)	MOD/UPR	Streptomyces coelicolor A3(2) is genetically the best known representative of the Streptomyces genus. This strain has a reference proteome in UniProtKB database.	8843436,12000953	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Thermanaerovibrio acidaminovorans	1	Thermanaerovibrio acidaminovorans DSM 6589	NC_013522	CP001818			TYP/UPR	Thermanaerovibrio acidaminovorans DSM 6589 is the type strain. It has has a reference proteome in UniProtKB database.	21304665	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:11
Thermodesulfovibrio yellowstonii	1	Thermodesulfovibrio yellowstonii DSM 11347	NC_011296	CP001147			TYP/UPR	Thermodesulfovibrio yellowstonii DSM 11347 is the type strain. This strain has a reference proteome in UniProtKB database.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:12
Thermosynechococcus elongatus	1	Thermosynechococcus elongatus BP-1	NC_004113	BA000039			UPR	This strain has a reference proteome in UniProtKB database.	12240834	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:13
Thermotoga maritima	3	Thermotoga maritima MSB8	NC_000853	AE000512			UPR	This strain has a reference proteome in UniProtKB database.	10360571	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:14
Thermus thermophilus	5	Thermus thermophilus HB8	NC_006461	AP008226	NC_006462 ... (2)	AP008227 ... (2)	UPR	This strain has a reference proteome in UniProtKB database.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:15
Vibrio cholerae	193	Vibrio cholerae O1 biovar El Tor str. N16961	NC_002505,NC_002506	AE003852,AE003853			FGS/CLI/UPR	This strain has a reference proteome in UniProtKB database.	10952301	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:16
Aliivibrio fischeri	4	Vibrio fischeri ES114	NC_006840,NC_006841	CP000020,CP000021	NC_006842	CP000022	FGS/CLI/UPR	This strain has a reference proteome in UniProtKB database.	15703294,18366731	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:2
Xanthomonas campestris	22	Xanthomonas campestris pv. campestris str. ATCC 33913	NC_003902	AE008922			TYS/UPR	This strain has a reference proteome in UniProtKB database.	12024217	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Yersinia enterocolitica	15	Yersinia enterocolitica subsp. enterocolitica 8081	NC_008800	AM286415	NC_008791	AM286416	CLI/MOD/PRT	Y. enterocolitica 8081 was originally isolated from a patient suffering from septicemia, is highly pathogenic in the murine yersiniosis infection model, and has been widely studied. 	12834539,17173484	http://www.sanger.ac.uk/resources/downloads/bacteria/yersinia.html
Yersinia pestis	136	Yersinia pestis CO92	NC_003143	AL590842	NC_003131 ... (3)	AL109969 ... (3)	CLI/MOD/PRT/UPR	Y. pestis strain CO92 is a clinical isolate from Colorado, USA. It was first isolated in 1992 and classified into the biovars orientalis. As its full virulence, Y. pestis strain CO92 has been widely used in biomedical research and in biological warfare.	11586360,12834539	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
